[2025-05-14 14:29:43.738] DEBUG   (proxy.go:176) First 32 bytes (hex): 1f 8b 08 00 00 00 00 00 00 03 84 92 cf 4e c3 30 0c 87 ef 3c c5 64 ed d8 a2 ac 6b c7 9a 23 48 dc 
[2025-05-14 14:29:43.737] DEBUG   (proxy.go:162) Proxy response body from https://api.sandbox-koho.ca: [Binary data of type application/json; charset=UTF-8, 354 bytes]
[2025-05-14 14:29:43.736] DEBUG   (proxy.go:152) Proxy response from https://api.sandbox-koho.ca has Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.735] INFO    (proxy.go:138) Proxy response from https://api.sandbox-koho.ca to /1.0/collections/payment-reminders - 200 (1.583246625s)
[2025-05-14 14:29:43.734] DEBUG   (proxy.go:244)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.733] DEBUG   (proxy.go:244)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.732] DEBUG   (proxy.go:244)   Vary: Origin
[2025-05-14 14:29:43.731] DEBUG   (proxy.go:244)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.731] DEBUG   (proxy.go:244)   Content-Encoding: gzip
[2025-05-14 14:29:43.730] DEBUG   (proxy.go:244)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.729] DEBUG   (proxy.go:244)   Access-Control-Allow-Headers: *
[2025-05-14 14:29:43.728] DEBUG   (proxy.go:244)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.727] DEBUG   (proxy.go:244)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.726] DEBUG   (proxy.go:244)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.725] DEBUG   (proxy.go:244)   X-Organization: koho
[2025-05-14 14:29:43.724] DEBUG   (proxy.go:244)   Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS, PATCH
[2025-05-14 14:29:43.723] DEBUG   (proxy.go:244)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.722] DEBUG   (proxy.go:244)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.721] DEBUG   (proxy.go:244)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.721] DEBUG   (proxy.go:244)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.720] DEBUG   (proxy.go:244)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.719] DEBUG   (proxy.go:244)   Server: cloudflare
[2025-05-14 14:29:43.718] DEBUG   (proxy.go:241) Sending headers to client:
[2025-05-14 14:29:43.717] DEBUG   (proxy.go:72)   Server: cloudflare
[2025-05-14 14:29:43.716] DEBUG   (proxy.go:72)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.715] DEBUG   (proxy.go:72)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.714] DEBUG   (proxy.go:72)   Vary: Origin
[2025-05-14 14:29:43.713] DEBUG   (proxy.go:72)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.712] DEBUG   (proxy.go:72)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.711] DEBUG   (proxy.go:72)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.711] DEBUG   (proxy.go:72)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.710] DEBUG   (proxy.go:72)   Content-Encoding: gzip
[2025-05-14 14:29:43.709] DEBUG   (proxy.go:72)   X-Organization: koho
[2025-05-14 14:29:43.708] DEBUG   (proxy.go:72)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.707] DEBUG   (proxy.go:72)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.706] DEBUG   (proxy.go:72)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.705] DEBUG   (proxy.go:72)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.704] DEBUG   (proxy.go:72)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.704] DEBUG   (proxy.go:72)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.703] DEBUG   (proxy.go:69) Headers in ModifyResponse (before modification):
[2025-05-14 14:29:43.702] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.701] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.699] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.692] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.681] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.680] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.678] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.674] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.673] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.666] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.665] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
